episode: 1/2000, episode end value: 42319.0
episode: 2/2000, episode end value: 42918.0
episode: 3/2000, episode end value: 22919.0
episode: 4/2000, episode end value: 27181.0
episode: 5/2000, episode end value: 30144.0
episode: 6/2000, episode end value: 44111.0
episode: 7/2000, episode end value: 32704.0
episode: 8/2000, episode end value: 23032.0
episode: 9/2000, episode end value: 47213.0
episode: 10/2000, episode end value: 25578.0
episode: 11/2000, episode end value: 40663.0
episode: 12/2000, episode end value: 64583.0
episode: 13/2000, episode end value: 43161.0
episode: 14/2000, episode end value: 48424.0
episode: 15/2000, episode end value: 35056.0
episode: 16/2000, episode end value: 32312.0
episode: 17/2000, episode end value: 44401.0
